,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
18482,88,2,3,4,3,10.9809429567762,34.5431919898192
18959,18,1,1,4,33,30.2642517615216,7.90283572907962
18960,35,1,3,1,8,8.47808583015749,20.20303064595
18961,41,1,3,4,27,10.2899187685001,34.917792331483
18962,54,1,4,2,33,12.1678110192425,33.2803475559272
18963,64,1,3,4,27,25.3161697236091,16.4458273150391
18964,77,1,3,1,11,11.0634518889991,34.094262905449
18965,78,1,3,4,27,14.8608737765184,14.5392878823884
18966,89,1,3,2,27,24.7959041527738,16.7828660100245
18967,90,1,2,4,24,26.6148412707737,15.6322043687976
18968,5,2,3,1,1,7.93707592789621,47.730939717973
18969,11,2,3,4,8,7.07699911326968,36.2500136026527
18970,18,2,3,4,27,17.5773863991097,23.4737728212322
18971,30,2,3,2,27,15.1111590542722,26.263819316725
18972,32,2,2,1,1,11.1376213434744,36.3639641714544
18973,33,2,3,4,27,20.1085280416046,20.4821325949483
18974,36,2,3,2,27,16.0634006426773,17.7687306374192
18975,52,2,3,4,27,23.9259683844098,17.2604660312249
18976,54,2,3,2,38,17.7971598857795,18.2313235907861
24969,11,1,3,2,27,24.1478218236166,16.1035919643355
24970,36,1,3,2,23,16.3478774682616,24.7122517109877
24971,38,1,1,4,33,26.2335822162026,2.54345429713675
24972,43,1,3,1,11,10.4062705037719,34.8593718622126
24973,49,1,3,2,8,18.3337739413612,14.2961501300874
24974,50,1,3,4,27,20.4453584773858,20.0378283454877
24975,50,1,2,1,8,8.71640755958119,36.8402764079629
24976,54,1,3,4,27,25.2689095979317,16.3108326069784
24977,62,1,3,4,27,25.352646257321,15.4944968827612
24978,62,1,3,4,29,10.3550162784231,37.5957823382202
24979,69,1,3,4,12,11.080234473811,33.726198416307
24980,70,1,2,1,1,8.08455266381825,48.3438926125275
21196,60,1,3,2,27,18.3853147568949,13.0632274800545
21197,89,1,3,2,27,17.132048336386,20.0490376379554
21198,89,1,3,4,3,12.6360898896849,26.7677490900784
21397,5,1,4,2,33,12.1678110192425,33.2803475559272
21398,6,1,2,1,11,8.49732285040556,44.4273777926921
21399,11,1,3,4,27,20.0540458322491,15.0493813763833
21400,15,1,3,1,11,14.3219121519525,27.886887995956
21401,16,1,2,4,24,23.5124166454328,12.5314845103881
21402,18,1,3,4,11,9.40596860937747,40.6939940662412
21403,20,1,3,4,39,16.5652938459383,22.1151281012095
21404,21,1,3,4,24,22.336075280731,17.3211164543943
21405,30,1,3,4,27,17.855899032403,16.8025740010527
25902,12,1,3,4,27,29.7971229523361,13.5405103549979
25903,28,1,3,4,23,20.2667752322857,20.4719126161486
25904,34,1,3,4,19,14.7006666515502,27.9601142527744
25905,39,1,3,4,27,13.3975149184214,30.2443909760781
25906,48,1,3,2,27,26.3619624747424,14.9635533953427
25907,50,1,3,1,11,11.4962218380207,35.1987582058246
25908,63,1,5,1,8,9.64935318941752,34.0167667057121
25909,65,1,2,1,11,10.4072106705008,31.271837581988
25910,69,1,3,2,8,15.5853892077432,14.9979768116973
25911,73,1,3,4,27,17.2183988107637,18.8863105532488
25912,75,1,3,1,1,11.7905349828821,32.2189333014299
25913,78,1,3,4,27,22.8100771519477,17.8985963387191
26622,48,2,2,4,27,30.3820526336828,13.7220493076361
26623,55,2,3,4,24,25.9336205654905,16.0052477568093
26624,56,2,3,4,27,23.5106188789777,16.5852790182452
26625,63,2,4,4,33,12.1678110192425,33.2803475559272
26626,65,2,2,4,19,13.1090301325461,30.6164662122912
26627,68,2,3,4,27,18.3934771046695,15.8469536929001
26628,69,2,3,4,27,19.703035219551,20.9800875163393
26629,70,2,3,2,24,23.0634523108571,16.0431921030903
26630,73,2,3,2,8,18.5644882533591,15.6826732900377
26631,73,2,2,2,27,23.5991248235232,15.5667259683181
26632,84,2,3,4,27,28.4198042744586,14.3824085539994
26633,89,2,3,2,27,16.6030026622604,24.7076034764429
24197,75,2,3,1,11,10.5075760726514,26.5248983489924
24198,75,2,3,4,1,12.5647105746008,24.3320856791429
24199,76,2,3,2,39,12.563426841717,28.2549174520965
24200,83,2,3,4,38,15.2965884400632,23.0295440721445
24201,88,2,3,4,27,21.3883484034873,17.6652058025844
24202,91,2,3,4,27,25.5091096843527,14.2766980059326
24311,1,1,2,4,24,26.8715672623917,12.7713983258995
24312,17,1,5,1,17,11.3097469741464,30.2817745135102
24313,17,1,5,1,11,7.36981003825743,52.7456085337098
24314,33,1,3,2,38,19.4717661604279,20.929699055688
24315,33,1,2,4,24,19.4234169153921,18.3468992615663
24316,43,1,3,2,27,14.8054616331163,27.6024430558225
20027,76,2,3,4,2,13.8950710987833,29.2651474204756
20028,87,2,3,4,27,13.012517041875,20.783919048961
20029,91,2,3,4,27,25.8007791171176,16.1028154655119
20353,22,1,2,1,11,4.01040411324092,84.7421973248792
20354,28,1,5,1,11,5.86324580829235,60.371816220266
20355,34,1,3,2,27,10.4966872020777,37.0318509439581
20356,38,1,3,2,3,15.6604924758688,25.9801794173156
20357,50,1,5,1,8,12.965305209323,30.8027821643959
20358,77,1,3,4,27,16.3115937684248,25.2434917578227
20359,78,1,3,4,8,28.35656556254,14.4972063336555
20487,8,2,1,4,33,26.8445090963992,14.4434538171174
20488,8,2,5,4,24,26.3689163570952,15.5569291668039
21497,58,2,3,4,2,11.8990585510064,25.0638151476951
21498,59,2,3,4,27,22.9954277777982,18.0866058437234
21499,64,2,3,1,11,4.30565930290774,80.5030440980976
21500,68,2,3,2,27,23.5485896683053,17.6487158045657
21501,71,2,3,2,27,12.5899482023064,26.4679374103195
21761,19,1,2,4,11,9.13017113749792,39.4857490063326
21762,47,1,3,4,27,9.09885958557811,36.9857577748713
21763,47,1,3,4,27,25.7122400314151,14.6308620093727
21764,47,1,3,4,29,8.00857984481269,49.0203460907606
21765,50,1,5,1,1,7.12646367583621,43.3974003418845
21766,58,1,3,1,11,8.05192357642458,47.8744484690849
21767,62,1,3,4,27,15.0761088691179,27.1965071703922
17360,7,1,5,4,8,16.2100826150266,23.9330845325592
17361,10,1,3,4,27,8.74562959728907,42.4175828747614
17362,11,1,3,4,27,9.84014007523243,38.0622856703473
17363,12,1,3,4,27,18.719500684967,21.981816694191
17364,13,1,3,2,29,22.9631804868734,16.5741505724595
17365,15,1,3,2,27,15.1253979792441,27.1972781994404
17366,17,1,3,4,27,20.1604289407423,20.5788467752274
17367,20,1,3,4,27,14.6372429388787,17.6205791466943
17368,23,1,3,4,11,18.0791287765761,16.0072909657725
17369,29,1,3,2,27,16.5641592742257,14.8453903096081
17370,30,1,2,4,24,18.1447771998,20.2992654826951
17371,33,1,5,1,1,11.0406890914037,36.3796105774797
17372,33,1,3,4,24,28.4336930418826,14.6282961731407
17373,36,1,3,1,1,8.2085006793614,46.8784687180953
17374,39,1,3,4,27,14.6451614702654,26.5978685579052
17375,45,1,3,4,27,21.8468149824286,18.7604471279246
17376,47,1,2,4,19,4.96677038677587,58.569527742504
17377,49,1,3,2,11,8.39383489598837,30.6540612320814
17378,54,1,3,2,39,16.7762098644385,23.1344011856097
17379,64,1,3,4,27,17.4439795021824,22.9161055930245
17380,75,1,2,1,11,4.79954524479507,73.7389921049964
17381,76,1,3,2,27,20.8621744367321,15.770544454433
17382,78,1,3,2,27,15.565353890879,26.4268055522405
17383,81,1,2,1,1,14.1811470890896,28.7527087011972
25914,79,1,3,4,27,15.1849305336018,16.1821568051415
25915,80,1,2,4,11,7.97280536004975,46.5892676045761
25916,85,1,3,2,27,27.2813376651098,14.0515800302258
25917,86,1,3,4,27,26.0913446295863,15.9404568155253
25918,90,1,3,2,27,26.1555853309699,15.925444187704
25919,91,1,3,4,38,11.222415718991,11.9532236714491
26143,11,2,5,4,27,13.1460701438882,31.0748444430498
26144,16,2,3,2,24,19.003323982447,20.3717579112254
26145,22,2,3,1,11,12.7399970421425,30.0313973215981
26146,25,2,3,2,27,19.780863589122,17.0730386160764
26147,32,2,2,1,11,7.60001563534057,32.6602776969068
26148,32,2,2,4,24,9.47408653483311,41.2075058983628
25174,41,2,3,2,24,24.5894464027964,16.6462790422907
