,0
1,0.1074553027343186
2,0.2921375641545514
3,0.5294299723468363
4,0.2589295036392701
5,0.2782144466826022
6,0.9696290125546684
7,0.9676284851650988
8,0.1452228130488052
9,0.1127911309254528
10,0.3775550926781132
11,0.6654319751505638
0,0.2795960524859319
1,0.1134842337346773
2,0.5303295576936929
3,0.0659136522330796
4,0.2609864511409541
5,0.0552347478621617
6,0.6931911639098219
7,0.1652662393522821
8,0.0694486715595633
9,0.206389624231444
10,0.4726657256672994
11,0.102616758097843
0,0.2271796437420395
1,0.2580373518813057
2,0.561386571959171
3,0.3432924510160389
4,0.0508328191650817
5,0.333898750960854
6,0.1599119089129309
7,0.2615999575569958
8,0.9694469287797294
9,0.1308737405903786
10,0.6681706148527525
11,0.3640777907963373
0,0.9020400731410976
1,0.2881492462069318
2,0.2545576547651056
3,0.3833689847738699
4,0.2098845480607167
5,0.2818281404841046
6,0.4104672072780622
7,0.2012909780766328
8,0.1133708580888183
9,0.443105561981397
10,0.1337916130862645
11,0.3601941096956152
0,0.1971009486889222
1,0.2268501042592059
2,0.2395152010919463
3,0.3249725238172742
4,0.4329390814043817
5,0.1405476111335923
6,0.0484392356478334
7,0.1781119597773491
8,0.237241774726826
9,0.4690027955894614
10,0.6051268814225158
11,0.2493627118186137
0,0.1006667363935482
1,0.1735245554581304
2,0.9691902191991154
3,0.236495579382535
4,0.233992166206428
5,0.2956771059210801
6,0.7669449091899726
7,0.6909419326547226
8,0.1982291359451068
9,0.5704845254389426
10,0.3474201602861108
11,0.0552990395328992
0,0.2827725304983962
1,0.3451848385571997
2,0.3874706552022868
3,0.2465550517953483
4,0.1767906426142983
5,0.2673573120118779
6,0.157973085855533
7,0.2130397002114308
8,0.3792176287007506
9,0.5080386448003842
10,0.7947826544767954
11,0.0642185332772683
0,0.2044679946562267
1,0.8333320377455469
2,0.3837912621756917
3,0.4085011177764476
4,0.4301026995498161
5,0.2965283751931783
6,0.1034841682194541
7,0.1302250949585339
8,0.1222529680554586
9,0.08948186350959
10,0.272498782575904
11,0.0907225080662805
0,0.7106255486191528
1,0.3871001619703448
2,0.1782261572203635
3,0.0642518434572378
4,0.0974168953281771
5,0.1109082066323818
6,0.4267426233234913
7,0.5239997008639173
8,0.2130451930868258
9,0.0820786425550399
10,0.3943320786596059
11,0.3288958470296226
0,0.2656931924144146
1,0.2901623805563399
2,0.0689802847141701
3,0.0854224265381247
4,0.1006302512054907
5,0.1521453576660568
6,0.2565287693736578
7,0.2696503112165928
8,0.0450503524702887
9,0.3813143154007782
10,0.2758895414348705
11,0.4493492314109898
0,0.1540044085514047
1,0.5001092677855937
2,0.1903944845367846
3,0.3278468879592169
4,0.3195408392627505
5,0.6039424595205763
6,0.0842406576758662
7,0.3560789894420005
8,0.3623542668238215
9,0.2493355556055634
10,0.1563869162429784
11,0.3346537752886058
0,0.0935494901315499
1,0.5249253950013788
2,0.4530294800586906
3,0.367413452973948
4,0.7030737332042616
5,0.5377872130177533
6,0.198313340240945
7,0.3799435784426271
8,0.1598767574459768
9,0.3778341245347268
10,0.3096701902657073
11,0.3403970591520755
0,0.1470645623599028
1,0.0994429826326476
2,0.4740640553788006
3,0.7638360714404747
4,0.6893471174476818
5,0.1031129599844722
6,0.1392623049246157
7,0.1478160048602974
8,0.1079905604115267
9,0.0589624657051072
10,0.506552641982108
11,0.2098108544326112
0,0.7330942909738817
1,0.5442882143101914
2,0.3570372557991501
3,0.0379387808195016
4,0.2677215309150789
5,0.5403353217448825
6,0.0641246889260614
7,0.0550952129973998
8,0.2951677786363078
9,0.6332348821597076
10,0.1756011067058218
11,0.4051676972345678
0,0.1243292382885621
1,0.1995329531652733
2,0.0890055948137555
3,0.1652521521268914
4,0.3077662694022586
5,0.0873434026854541
6,0.3592877913298496
7,0.7620063954644106
8,0.5087210329505898
9,0.9690749832298534
10,0.0987471674614004
11,0.0758148727386746
0,0.276706237995905
1,0.2906068302063513
2,0.26585626110869
3,0.401255699647036
4,0.2260455966910457
5,0.5050112182048951
6,0.1577395775463495
7,0.3158721249311066
8,0.3972770986102902
9,0.361813417544674
10,0.4087605810649131
11,0.0628028990473533
0,0.5877440333045726
1,0.3172557118462025
2,0.2677773237909906
3,0.283051620293741
4,0.3595691269176898
5,0.4499801224576177
6,0.6919111209848275
7,0.39313089924406
8,0.1376540622774589
9,0.2953797915662137
10,0.1910669942956221
11,0.52769243483646
0,0.9661756016912304
1,0.5958295465941954
2,0.328369571128915
3,0.1975055401274278
4,0.506902831564597
5,0.8706107779983151
6,0.0925713796883985
7,0.1877718438631621
8,0.4214099481818459
9,0.1548976517289131
10,0.348088069785698
11,0.19041301375609
