,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
219294,66,1,3,2,27,25.136760344092,16.3459814816794
219295,67,1,3,4,27,27.9429762855876,14.7031990592628
219296,67,1,3,4,27,23.4449589427302,17.6498966006237
219297,73,1,3,4,27,24.6986482244178,16.6399224799389
219298,74,1,3,1,8,12.3000554361131,31.0465907525433
219299,78,1,3,2,27,15.1889479106004,24.188997663525
219300,84,1,3,2,2,15.0363851020811,12.4308462013632
219301,87,1,3,4,38,23.2502570603848,17.5560659970747
219302,88,1,5,4,27,19.416230903592,16.2628841459667
219435,1,2,3,4,38,8.24468644157609,47.6852584614271
219436,12,2,3,4,38,11.485373773179,24.1071111772701
219437,15,2,3,4,27,11.5457224443181,24.1654685345204
219438,23,2,3,2,24,25.7232840810429,15.9459168566489
219439,29,2,3,4,12,25.9211574922703,16.0201498831539
219440,42,2,3,4,24,11.7400729902712,34.1939946474407
219441,45,2,3,2,27,12.5074227181908,28.2505666820113
219442,51,2,5,4,27,22.6895883342623,16.9635622141464
219443,52,2,3,4,27,28.3293278910874,14.4197369019493
219444,65,2,3,4,27,28.131015673418,13.2856184520267
219445,74,2,3,2,24,12.8877194922839,30.279926291866
219446,80,2,2,1,1,12.9258179236411,15.3799524670933
219447,81,2,2,4,24,7.47002872335562,50.5294541426454
219448,86,2,3,4,39,12.2409642904973,24.2582852056987
219449,87,2,3,2,2,12.9132747604278,30.8121970504675
219639,6,1,3,2,27,18.877046395336,17.3029283673325
219640,13,1,3,4,27,23.1403342845516,15.7834950337398
219641,14,1,4,4,33,12.1678110192425,33.2803475559272
219642,18,1,2,2,11,14.7767418600989,18.6498352053511
219643,22,1,5,4,27,18.9706746769194,21.7659966954727
219644,30,1,3,4,39,11.8340798454568,22.1267945722667
219645,33,1,3,2,8,9.71358215721479,39.8772348238754
219646,34,1,3,2,27,4.06345067555547,77.9550348416825
219647,60,1,3,4,27,15.4135863539848,18.9240136690934
219648,78,1,3,4,27,16.5071209550879,23.5611371734851
