,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
220480,59,2,3,1,11,9.43494140187669,41.8094671446255
220486,81,2,3,4,27,16.2653521495516,23.3391254921876
220707,6,1,3,4,27,12.8198414708568,29.6946318103985
220708,8,1,3,4,38,14.3889962626408,27.2927600039741
220715,31,1,3,4,38,18.256303194245,20.7876886073324
220721,76,1,4,4,33,12.1678110192425,33.2803475559272
220722,96,1,1,4,33,30.5566587709929,11.9307126517066
220921,16,2,3,4,27,22.8352348384778,17.4672238634161
220923,32,2,2,1,1,15.3022201368488,7.14400130245753
220929,48,2,5,1,1,10.542708477081,38.1767878023013
221036,2,1,2,4,27,24.4590671093488,15.5681883313742
221038,11,1,3,4,27,17.0592968299663,24.156029718734
221042,27,1,3,4,24,30.5549986595822,13.6611458286194
221048,56,1,3,4,2,20.5232118773972,18.9329115408899
221051,68,1,3,4,38,13.127735846057,31.1515500618179
221053,71,1,3,4,27,5.0561692891581,71.7446505718864
221058,82,1,3,4,27,10.8608890690912,32.8968260359582
221059,88,1,3,4,27,26.0359104786066,15.8836858643272
221279,10,2,3,4,29,9.38021325075676,42.5224146283866
221281,26,2,3,1,1,4.316194238738,80.095574431145
221283,42,2,3,4,3,14.7329184198852,26.9976265054301
221292,65,2,3,2,27,10.5921958837582,27.8789061432266
221293,75,2,3,4,27,13.4626016842452,29.7868024286737
221298,86,2,3,2,19,7.88577008636326,49.7559785619359
221489,12,2,3,4,24,16.7858014295886,23.3866176180927
221490,17,2,3,4,27,13.7312384144369,26.5767629045575
221492,46,2,3,4,38,7.99195046922224,10.3551429058885
221500,61,2,3,4,27,16.0974539912372,21.3542084199354
221501,74,2,3,4,27,19.7458382072673,20.9961593784735
221502,77,2,3,4,19,15.6610666833583,24.4237127883271
221771,8,1,3,4,27,13.9587019235157,29.025922364637
221779,39,1,3,4,27,27.9401201869852,14.9207030353066
221780,40,1,2,1,1,9.98654219437338,40.2224126140446
221783,50,1,3,4,39,11.2638263594594,29.3433089030342
221786,61,1,3,2,39,11.2956947405583,28.2996835090192
221790,73,1,3,2,39,8.94006544009523,37.3250282231694
221793,89,1,2,1,11,9.77640386647231,41.0157572405642
222173,4,1,3,4,24,18.4062539740223,19.2688225536843
222177,19,1,3,4,27,4.26671938049858,80.4012991346984
222179,26,1,3,1,1,14.8316054328886,27.681555229138
222184,35,1,3,4,8,10.1139288706563,38.5000550054133
222191,54,1,3,4,8,8.05192357642458,47.8744484690849
222194,62,1,2,1,1,9.92297871429717,40.3406730810976
222371,11,2,3,4,24,15.4800940278887,22.346321366403
222376,40,2,3,1,1,10.0912883221123,38.0314746293341
222377,43,2,3,1,11,10.3011924525972,39.0896389559659
222379,46,2,5,4,8,11.4248257802315,34.566745765771
222383,51,2,3,2,27,5.38733362892959,65.6846805832905
222384,61,2,3,4,39,12.3199700354238,31.1902550919964
222388,70,2,3,1,11,7.6624373789729,41.4103571043257
222519,8,1,3,4,19,5.49496901126518,63.0559632919095
222520,16,1,3,4,27,15.3183014100933,19.5107583332245
222524,31,1,3,4,8,9.8575544887926,30.4200691762863
