,status
219168,1
219169,0
219170,0
219171,0
219172,0
219173,0
219174,0
219175,0
219176,1
219177,1
219178,0
219179,0
219180,0
219181,0
219182,0
219183,0
219184,0
219185,0
219186,0
219187,0
219188,0
219189,0
219190,0
219191,0
219192,0
219193,0
219194,0
219195,0
219196,0
219197,0
219198,0
219199,0
219200,0
219201,0
219202,0
219203,1
219204,0
219205,0
219206,1
219207,0
219208,0
219209,0
219210,0
219211,0
219212,1
219213,0
219214,0
219215,0
219216,0
219217,0
219218,1
219219,0
219220,0
219221,0
219222,0
219223,0
219224,0
219225,0
219226,1
219227,0
219228,1
219229,0
219230,0
219231,0
219232,0
219233,1
219234,0
219235,0
219236,0
219237,0
219238,0
219239,0
219240,0
219241,0
219242,0
219243,0
219244,0
219245,0
219246,0
219247,0
219248,1
219249,0
219250,0
219251,0
219252,0
219253,0
219254,0
219255,0
219256,0
219257,0
219258,0
219259,0
219260,0
219261,0
219262,0
219263,0
219264,0
219265,1
219266,0
219267,0
219268,0
219269,0
219270,0
219271,0
219272,0
219273,0
219274,0
219275,1
219276,1
219277,0
219278,0
219279,0
219280,0
219281,0
219282,0
219283,1
219284,0
219285,0
219286,0
219287,1
219288,1
219289,1
219290,0
219291,0
219292,0
219293,0
219294,0
219295,0
219296,0
219297,0
219298,0
219299,0
219300,0
219301,0
219302,0
219303,0
219304,0
219305,0
219306,0
219307,0
219308,0
219309,1
219310,0
219311,0
219312,0
219313,0
219314,0
219315,0
219316,0
219317,0
219318,0
219319,0
219320,0
219321,0
219322,0
219323,0
219324,1
219325,0
219326,0
219327,0
219328,0
219329,0
219330,1
219331,0
219332,1
219333,1
219334,0
219335,0
219336,0
219337,0
219338,0
219339,0
219340,1
219341,0
219342,0
219343,0
219344,0
219345,0
219346,0
219347,0
219348,0
219349,0
219350,0
219351,0
219352,0
219353,1
219354,0
219355,0
219356,0
219357,0
219358,0
219359,0
219360,0
219361,0
219362,0
219363,0
219364,0
219365,0
219366,0
219367,0
219368,0
219369,1
219370,0
219371,0
219372,0
219373,0
219374,1
219375,0
219376,0
219377,0
219378,0
219379,1
219380,0
219381,0
219382,0
219383,1
219384,0
219385,0
219386,0
219387,0
219388,0
219389,0
219390,0
219391,0
219392,0
219393,0
219394,0
219395,0
219396,0
219397,0
219398,0
219399,0
219400,0
219401,0
219402,0
219403,0
219404,0
219405,1
219406,0
219407,0
219408,0
219409,0
219410,1
219411,0
219412,0
219413,0
219414,0
219415,0
219416,1
219417,1
219418,0
219419,1
219420,0
219421,0
219422,0
219423,0
219424,1
219425,0
219426,0
219427,0
219428,0
219429,0
219430,0
219431,0
219432,0
219433,1
219434,0
219435,0
219436,0
219437,1
219438,0
219439,1
219440,0
219441,0
219442,0
219443,0
219444,0
219445,0
219446,0
219447,1
219448,1
219449,0
219450,0
219451,0
219452,0
219453,0
219454,0
219455,0
219456,0
219457,0
219458,0
219459,0
219460,1
219461,0
219462,0
219463,0
219464,0
219465,0
219466,0
219467,0
219468,0
219469,0
219470,0
219471,0
219472,0
219473,0
219474,0
219475,0
219476,0
219477,0
219478,0
219479,0
219480,0
219481,0
219482,0
219483,0
219484,0
219485,0
219486,0
219487,0
219488,0
219489,0
219490,1
219491,0
219492,0
219493,0
219494,0
219495,1
219496,0
219497,0
219498,0
219499,0
219500,1
219501,0
219502,1
219503,0
219504,0
219505,0
219506,0
219507,0
219508,0
219509,0
219510,0
219511,0
219512,0
219513,0
219514,1
219515,0
219516,0
219517,0
219518,0
219519,0
219520,1
219521,0
219522,0
219523,0
219524,0
219525,0
219526,0
219527,1
219528,0
219529,0
219530,0
219531,0
219532,0
219533,0
219534,0
