,0
3,0.5460107984535354
4,0.3238678268664704
5,0.0665304753998412
6,0.1349910154293748
7,0.1224915076097924
8,0.064379981144847
0,0.098452744983751
1,0.4369678893464613
2,0.3319986439579738
3,0.2828943418504163
4,0.2197421759086592
5,0.2372467314741174
6,0.1791344041883609
7,0.3461426111087293
8,0.3366114892113913
0,0.0981141934486848
1,0.2886269093518926
2,0.2871821090460847
3,0.5341039479880777
4,0.0732208781843812
5,0.0359058860271908
6,0.2440117958696309
7,0.3455454497508738
8,0.1411546487031603
0,0.1894968902515961
1,0.624706392004162
2,0.2944496891594784
3,0.0920234067341425
4,0.3081499918617283
5,0.6149501287760023
6,0.5702809467615093
7,0.2388813833384863
8,0.1813626426312799
0,0.35033703163685
1,0.5618823978391576
2,0.5969093485906392
3,0.6004447480396682
4,0.0728752184405365
5,0.0260017677718865
6,0.2678130770985469
7,0.7026715360280869
8,0.2089426558378709
0,0.4528460356945369
1,0.1152732294968172
2,0.93170725103081
3,0.1990728130822073
4,0.1669204842231775
5,0.0660369022646804
6,0.2644026229924295
7,0.2596106060076646
8,0.4754897422176951
0,0.0641994057115574
1,0.801036394358401
2,0.2630456858378803
3,0.2657819544002336
4,0.3996824553923662
5,0.533356697961305
6,0.4267409685570945
7,0.9694728981280736
8,0.1855290368666829
0,0.1387425948469295
1,0.0957097249266209
2,0.0642561437786741
3,0.8738298622786029
4,0.0766350567281443
5,0.1316981294908827
6,0.2533127333064598
7,0.7718742068795253
8,0.2547546859571975
0,0.2322631653208357
1,0.3151383512801877
2,0.4459719148685154
3,0.2384905615020609
4,0.6325465810039371
5,0.5164823274149294
6,0.628981211472358
7,0.1902877842780677
8,0.1312623791098644
0,0.6939283411735055
1,0.1064054808160916
2,0.0740615215244393
3,0.3666160831774836
4,0.1680563408227489
5,0.2262932414120571
6,0.3020176381826118
7,0.6658182923578965
8,0.2608831642242933
0,0.096354471056985
1,0.1291962044666764
2,0.1347470839553765
3,0.053162561361536
4,0.3287039206493349
5,0.4203705657246233
6,0.3992012967945486
7,0.2992631071725882
8,0.7730071434659573
0,0.0805838649861513
1,0.2050330598688469
2,0.2330869819852783
3,0.268010631756456
4,0.1925248838530937
5,0.064420464770171
6,0.2902183324421631
7,0.1016583656682917
8,0.1389820061322684
0,0.5693239361967471
1,0.3142458436629865
2,0.9199429771193228
3,0.6193644651719261
4,0.1226022892028637
5,0.2319888541042571
6,0.391916416770082
7,0.5542450834793737
